iterasi,a,b,c,f(c)
1,0.000000000000,1.000000000000,0.500000000000,0.015521058393
2,0.000000000000,0.500000000000,0.250000000000,-0.300096429382
3,0.250000000000,0.500000000000,0.375000000000,-0.109729741308
4,0.375000000000,0.500000000000,0.437500000000,-0.040359841980
5,0.437500000000,0.500000000000,0.468750000000,-0.010882156318
6,0.468750000000,0.500000000000,0.484375000000,0.002686539494
7,0.468750000000,0.484375000000,0.476562500000,-0.004003942337
8,0.476562500000,0.484375000000,0.480468750000,-0.000635500222
9,0.480468750000,0.484375000000,0.482421875000,0.001031287087
10,0.480468750000,0.482421875000,0.481445312500,0.000199339387
11,0.480468750000,0.481445312500,0.480957031250,-0.000217718416
12,0.480957031250,0.481445312500,0.481201171875,-0.000009099078
13,0.481201171875,0.481445312500,0.481323242188,0.000095142756
14,0.481201171875,0.481323242188,0.481262207031,0.000043027490
15,0.481201171875,0.481262207031,0.481231689453,0.000016965619
16,0.481201171875,0.481231689453,0.481216430664,0.000003933624
17,0.481201171875,0.481216430664,0.481208801270,-0.000002582639
18,0.481208801270,0.481216430664,0.481212615967,0.000000675514
19,0.481208801270,0.481212615967,0.481210708618,-0.000000953557
20,0.481210708618,0.481212615967,0.481211662292,-0.000000139020
21,0.481211662292,0.481212615967,0.481212139130,0.000000268248
22,0.481211662292,0.481212139130,0.481211900711,0.000000064614
23,0.481211662292,0.481211900711,0.481211781502,-0.000000037203
24,0.481211781502,0.481211900711,0.481211841106,0.000000013706
25,0.481211781502,0.481211841106,0.481211811304,-0.000000011749
26,0.481211811304,0.481211841106,0.481211826205,0.000000000979
27,0.481211811304,0.481211826205,0.481211818755,-0.000000005385
28,0.481211818755,0.481211826205,0.481211822480,-0.000000002203
29,0.481211822480,0.481211826205,0.481211824343,-0.000000000612
30,0.481211824343,0.481211826205,0.481211825274,0.000000000183
31,0.481211824343,0.481211825274,0.481211824808,-0.000000000215
32,0.481211824808,0.481211825274,0.481211825041,-0.000000000016
