iterasi,a,b,c,f(c)
1,0.000000000000,1.000000000000,0.845482144069,0.165861464398
2,0.000000000000,0.845482144069,0.725199494012,0.136211061141
3,0.000000000000,0.725199494012,0.638261251641,0.101830495078
4,0.000000000000,0.638261251641,0.579273540251,0.070459932589
5,0.000000000000,0.579273540251,0.541144532940,0.046042241616
6,0.000000000000,0.541144532940,0.517325698151,0.028933613409
7,0.000000000000,0.517325698151,0.502778499419,0.017728959351
8,0.000000000000,0.502778499419,0.494020038242,0.010693677857
9,0.000000000000,0.494020038242,0.488793042902,0.006388567533
10,0.000000000000,0.488793042902,0.485690178398,0.003794673033
11,0.000000000000,0.485690178398,0.483854110253,0.002246215284
12,0.000000000000,0.483854110253,0.482769705562,0.001326912064
13,0.000000000000,0.482769705562,0.482129961500,0.000782904296
14,0.000000000000,0.482129961500,0.481752795167,0.000461599852
15,0.000000000000,0.481752795167,0.481530520750,0.000272044563
16,0.000000000000,0.481530520750,0.481399558617,0.000160290137
17,0.000000000000,0.481399558617,0.481322407382,0.000094430028
18,0.000000000000,0.481322407382,0.481276960385,0.000055625773
19,0.000000000000,0.481276960385,0.481250190471,0.000032765741
20,0.000000000000,0.481250190471,0.481234422469,0.000019299717
21,0.000000000000,0.481234422469,0.481225134960,0.000011367743
22,0.000000000000,0.481225134960,0.481219664578,0.000006695655
23,0.000000000000,0.481219664578,0.481216442519,0.000003943749
24,0.000000000000,0.481216442519,0.481214544730,0.000002322864
25,0.000000000000,0.481214544730,0.481213426936,0.000001368162
26,0.000000000000,0.481213426936,0.481212768559,0.000000805843
27,0.000000000000,0.481212768559,0.481212380777,0.000000474639
28,0.000000000000,0.481212380777,0.481212152375,0.000000279561
29,0.000000000000,0.481212152375,0.481212017847,0.000000164660
30,0.000000000000,0.481212017847,0.481211938611,0.000000096984
31,0.000000000000,0.481211938611,0.481211891941,0.000000057123
32,0.000000000000,0.481211891941,0.481211864452,0.000000033645
33,0.000000000000,0.481211864452,0.481211848262,0.000000019817
34,0.000000000000,0.481211848262,0.481211838726,0.000000011672
35,0.000000000000,0.481211838726,0.481211833109,0.000000006875
36,0.000000000000,0.481211833109,0.481211829801,0.000000004049
37,0.000000000000,0.481211829801,0.481211827852,0.000000002385
38,0.000000000000,0.481211827852,0.481211826704,0.000000001405
39,0.000000000000,0.481211826704,0.481211826028,0.000000000827
40,0.000000000000,0.481211826028,0.481211825630,0.000000000487
41,0.000000000000,0.481211825630,0.481211825396,0.000000000287
42,0.000000000000,0.481211825396,0.481211825258,0.000000000169
43,0.000000000000,0.481211825258,0.481211825176,0.000000000100
