iterasi,a,b,c,f(c)
1,0.000000000000,1.000000000000,0.500000000000,-0.102369277662
2,0.000000000000,0.500000000000,0.250000000000,0.060497704616
3,0.250000000000,0.500000000000,0.375000000000,-0.007409238822
4,0.250000000000,0.375000000000,0.312500000000,0.029242027323
5,0.312500000000,0.375000000000,0.343750000000,0.011674747376
6,0.343750000000,0.375000000000,0.359375000000,0.002332951910
7,0.359375000000,0.375000000000,0.367187500000,-0.002486759466
8,0.359375000000,0.367187500000,0.363281250000,-0.000064224995
9,0.359375000000,0.363281250000,0.361328125000,0.001137512286
10,0.361328125000,0.363281250000,0.362304687500,0.000537433459
11,0.362304687500,0.363281250000,0.362792968750,0.000236802011
12,0.362792968750,0.363281250000,0.363037109375,0.000086337994
13,0.363037109375,0.363281250000,0.363159179688,0.000011068876
14,0.363159179688,0.363281250000,0.363220214844,-0.000026574965
15,0.363159179688,0.363220214844,0.363189697266,-0.000007752271
16,0.363159179688,0.363189697266,0.363174438477,0.000001658496
17,0.363174438477,0.363189697266,0.363182067871,-0.000003046839
18,0.363174438477,0.363182067871,0.363178253174,-0.000000694160
19,0.363174438477,0.363178253174,0.363176345825,0.000000482171
20,0.363176345825,0.363178253174,0.363177299500,-0.000000105994
21,0.363176345825,0.363177299500,0.363176822662,0.000000188089
22,0.363176822662,0.363177299500,0.363177061081,0.000000041048
23,0.363177061081,0.363177299500,0.363177180290,-0.000000032473
24,0.363177061081,0.363177180290,0.363177120686,0.000000004287
25,0.363177120686,0.363177180290,0.363177150488,-0.000000014093
26,0.363177120686,0.363177150488,0.363177135587,-0.000000004903
27,0.363177120686,0.363177135587,0.363177128136,-0.000000000308
28,0.363177120686,0.363177128136,0.363177124411,0.000000001990
29,0.363177124411,0.363177128136,0.363177126274,0.000000000841
30,0.363177126274,0.363177128136,0.363177127205,0.000000000267
31,0.363177127205,0.363177128136,0.363177127670,-0.000000000021
