iterasi,x_n,x_next,error,f(x_n)
1,1.000000000000,0.870550563296,0.129449436704,2.000000000000
2,0.870550563296,0.820955702873,0.049594860423,0.508378578331
3,0.820955702873,0.806039845431,0.014915857442,0.130670241148
4,0.806039845431,0.802030422279,0.004009423152,0.033513315503
5,0.802030422279,0.800990372677,0.001040049602,0.008584619601
6,0.800990372677,0.800723187305,0.000267185372,0.002198174290
7,0.800723187305,0.800654721386,0.000068465919,0.000562807386
8,0.800654721386,0.800637188469,0.000017532917,0.000144094107
9,0.800637188469,0.800632699345,0.000004489124,0.000036891794
10,0.800632699345,0.800631550000,0.000001149345,0.000009445231
11,0.800631550000,0.800631255738,0.000000294262,0.000002418217
12,0.800631255738,0.800631180399,0.000000075339,0.000000619124
13,0.800631180399,0.800631161110,0.000000019289,0.000000158511
14,0.800631161110,0.800631156172,0.000000004938,0.000000040583
15,0.800631156172,0.800631154908,0.000000001264,0.000000010390
16,0.800631154908,0.800631154584,0.000000000324,0.000000002660
17,0.800631154584,0.800631154501,0.000000000083,0.000000000681
